Date,Open,High,Low,Close,Adj Close,Volume
2021-03-19,104.500000,107.800003,102.820000,107.589996,107.589996,1145600
2021-03-22,106.629997,108.699997,106.320000,107.000000,107.000000,631800
2021-03-23,107.330002,107.349998,100.110001,100.110001,100.110001,1210400
2021-03-24,100.239998,101.480003,93.389999,94.050003,94.050003,2204100
2021-03-25,94.099998,97.449997,92.931000,95.129997,95.129997,1299400
2021-03-26,97.500000,97.540001,93.820000,95.760002,95.760002,910400
2021-03-29,97.540001,98.870003,93.760002,95.910004,95.910004,1066200
2021-03-30,99.800003,106.475998,98.599998,104.440002,104.440002,3464000
2021-03-31,109.467003,111.000000,107.099998,109.190002,109.190002,2178900
2021-04-01,110.510002,114.080002,110.500000,113.870003,113.870003,2020700
2021-04-05,114.010002,115.870003,110.000000,115.370003,115.370003,1385300
2021-04-06,115.690002,117.750000,114.168999,117.150002,117.150002,1523000
2021-04-07,115.760002,116.250000,112.220001,113.320000,113.320000,1151000
2021-04-08,113.269997,116.300003,112.500000,114.489998,114.489998,1001500
2021-04-09,114.949997,123.500000,114.720001,122.139999,122.139999,4192600
2021-04-12,120.550003,122.250000,118.290001,121.519997,121.519997,1620200
2021-04-13,125.000000,130.809998,124.769997,129.639999,129.639999,4187500
2021-04-14,130.800003,132.600006,129.210007,132.600006,132.600006,3349400
2021-04-15,130.000000,140.789993,128.160004,140.720001,140.720001,3705500
2021-04-16,141.490005,152.320007,141.490005,151.539993,151.539993,4624300
2021-04-19,146.970001,156.809998,146.789993,149.479996,149.479996,3426400
2021-04-20,145.470001,157.300003,140.809998,156.179993,156.179993,3219500
2021-04-21,154.839996,162.070007,152.119995,161.800003,161.800003,2416900
2021-04-22,164.990005,176.000000,164.800003,168.949997,168.949997,4728100
2021-04-23,174.337006,177.649994,171.020004,173.000000,173.000000,3102300
2021-04-26,167.791000,174.770004,161.539993,174.649994,174.649994,3087500
2021-04-27,173.369995,175.880005,169.264008,172.839996,172.839996,2061900
2021-04-28,171.979996,177.190002,169.300003,175.770004,175.770004,1507200
2021-04-29,180.580002,184.729996,177.250000,179.649994,179.649994,2072700
2021-04-30,183.300003,193.850006,180.679993,188.279999,188.279999,3505800
2021-05-03,202.250000,211.649994,196.000000,208.899994,208.899994,5707900
2021-05-04,212.500000,213.149994,169.300003,176.880005,176.880005,12101100
2021-05-05,185.410004,196.076004,161.220001,170.770004,170.770004,9146800
2021-05-06,146.059998,171.889999,145.000000,168.000000,168.000000,9970500
2021-05-07,183.341003,185.830002,175.399994,183.710007,183.710007,4463100
2021-05-10,200.800003,202.949997,184.559998,202.350006,202.350006,7286900
2021-05-11,186.610001,202.500000,185.000000,198.020004,198.020004,4662600
2021-05-12,196.649994,198.188995,185.660004,186.130005,186.130005,3200900
2021-05-13,188.328995,189.949997,172.720001,180.789993,180.789993,3054100
2021-05-14,183.490005,194.770004,181.559998,192.770004,192.770004,2980600
2021-05-17,192.740005,200.600006,191.779999,198.300003,198.300003,2024500
2021-05-18,195.490005,197.449997,190.250000,194.500000,194.500000,1839100
2021-05-19,190.000000,199.240005,186.720001,199.080002,199.080002,1838100
2021-05-20,199.169998,209.020004,198.300003,203.710007,203.710007,3272900
2021-05-21,204.130005,205.190002,195.429993,195.690002,195.690002,1525900
2021-05-24,197.509995,199.988007,193.279999,194.889999,194.889999,1222000
2021-05-25,194.460007,200.139999,193.699997,197.500000,197.500000,1444900
2021-05-26,197.600006,203.500000,197.507004,202.369995,202.369995,1545300
2021-05-27,199.050003,203.494995,196.179993,197.699997,197.699997,1324700
2021-05-28,199.110001,208.600006,199.100006,204.000000,204.000000,2283100
2021-06-01,204.570007,209.800003,204.479996,206.139999,206.139999,1661900
2021-06-02,206.259995,219.940002,205.199997,219.399994,219.399994,2823300
2021-06-03,218.300003,221.000000,213.399994,215.309998,215.309998,1527700
2021-06-04,218.619995,235.000000,217.000000,233.289993,233.289993,3226800
2021-06-07,238.559998,252.779999,237.500000,238.149994,238.149994,4361700
2021-06-08,238.789993,240.604004,211.259995,220.449997,220.449997,4125100
2021-06-09,225.020004,246.679993,222.800003,241.490005,241.490005,3627300
2021-06-10,240.000000,247.660004,231.050003,239.820007,239.820007,2853300
2021-06-11,238.966003,239.779999,233.610001,238.550003,238.550003,1123100
2021-06-14,240.550003,240.919998,212.399994,220.580002,220.580002,4425200
2021-06-15,224.139999,224.339005,213.119995,218.169998,218.169998,2041100
2021-06-16,211.500000,214.970001,199.500000,203.850006,203.850006,3931600
2021-06-17,209.899994,216.300003,208.559998,214.199997,214.199997,2107700
2021-06-18,211.910004,217.100006,211.520004,212.419998,212.419998,2256100
